1,505.0000,213.7500,18.0000,42.0000,0.27905300
1,499.0000,207.0000,32.0000,59.5000,0.00486755
1,4.0938,430.7500,29.9375,82.2500,0.00104046
2,529.0000,222.0000,24.0000,54.0000,0.37207000
2,376.2500,217.2500,17.5000,41.5000,0.00398636
2,75.9375,214.2500,23.1250,43.2500,0.00353432
2,522.5000,208.6250,41.0000,73.8750,0.00334358
3,565.0000,233.5000,22.0000,55.0000,0.48779300
3,559.0000,215.3750,36.0000,74.1250,0.00737000
3,367.0000,223.6250,19.5000,43.1250,0.00625229
3,360.0000,218.2500,22.5000,45.0000,0.00137806
4,345.5000,227.2500,38.5000,50.5000,0.00275993
4,373.0000,218.8750,23.5000,55.1250,0.00157070
5,537.0000,223.2500,28.0000,51.5000,0.02232360
5,532.5000,211.7500,42.0000,72.5000,0.00172615
5,343.5000,491.0000,96.0000,22.0000,0.00169373
5,386.0000,481.0000,69.5000,32.0000,0.00131702
5,333.2500,474.7500,60.0000,38.2500,0.00108814
5,311.5000,490.7500,93.0000,22.2500,0.00108814
6,321.0000,481.7500,72.0000,31.2500,0.00111198
6,255.5000,478.5000,73.0000,34.5000,0.00104237
7,349.0000,485.5000,76.0000,27.5000,0.00164795
7,315.0000,486.0000,81.0000,27.0000,0.00158215
7,281.7500,486.0000,82.5000,27.0000,0.00147247
7,247.5000,486.0000,88.0000,27.0000,0.00122261
7,217.2500,483.5000,85.5000,29.5000,0.00112247
7,379.7500,484.2500,73.5000,28.7500,0.00108051
8,289.5000,486.5000,70.0000,26.5000,0.00193119
8,318.5000,486.7500,71.0000,26.2500,0.00133419
8,255.2500,487.2500,76.0000,25.7500,0.00118065
9,291.5000,486.2500,62.5000,26.7500,0.00149155
9,325.5000,484.5000,58.0000,28.5000,0.00129032
10,255.5000,484.2500,70.5000,28.7500,0.00113583
11,288.5000,484.7500,70.0000,28.2500,0.00141144
11,318.0000,484.0000,74.5000,29.0000,0.00121784
13,460.5000,214.0000,19.5000,39.5000,0.02742000
13,462.2500,209.2500,26.0000,54.0000,0.00616074
13,1.0000,195.6250,41.4062,60.3750,0.00165272
14,489.0000,215.1250,21.0000,42.8750,0.23107900
14,22.8125,202.7500,26.2500,52.0000,0.08245850
14,12.2812,198.6250,46.3438,60.1250,0.02938840
14,479.5000,203.7500,37.0000,64.2500,0.02151490
14,578.5000,212.0000,39.0000,89.0000,0.01193240
15,529.0000,210.6250,26.0000,60.8750,0.30615200
15,429.7500,202.7500,17.5000,42.0000,0.00135231
15,451.2500,154.6250,184.7500,199.8750,0.00117016
16,575.5000,223.3750,25.0000,50.1250,0.33935500
16,568.0000,211.6250,41.0000,72.6250,0.01132200
16,227.2500,484.2500,65.5000,28.7500,0.00266838
16,255.7500,485.5000,68.5000,27.5000,0.00179005
16,194.6250,483.7500,70.1250,29.2500,0.00162125
16,323.0000,485.5000,66.0000,27.5000,0.00151920
16,354.2500,483.5000,62.0000,29.5000,0.00144768
16,288.0000,485.7500,69.0000,27.2500,0.00120258
16,480.0000,156.2500,161.0000,199.0000,0.00103378
16,438.5000,198.0000,22.0000,44.0000,0.00102234
17,460.5000,204.8750,19.0000,39.1250,0.42236300
17,445.7500,205.0000,19.0000,39.5000,0.29370100
17,443.0000,201.2500,43.0000,47.0000,0.01365660
17,566.5000,203.7500,30.0000,66.5000,0.00194740
17,354.0000,485.5000,68.0000,27.5000,0.00133801
17,462.7500,201.5000,28.5000,45.0000,0.00119495
17,385.5000,483.2500,65.0000,29.7500,0.00108433
17,319.2500,486.7500,71.0000,26.2500,0.00103569
18,466.0000,216.7500,21.5000,43.2500,0.34716800
18,452.7500,217.0000,20.0000,44.2500,0.28857400
18,25.9688,201.6250,71.2812,44.8750,0.00522614
18,447.5000,217.6250,48.0000,40.8750,0.00478745
18,103.8750,205.7500,75.7500,38.0000,0.00316238
18,25.6250,485.5000,72.5000,27.5000,0.00132561
18,227.3750,483.7500,64.1250,29.2500,0.00130844
18,1.0000,481.0000,61.3750,32.0000,0.00122166
18,196.5000,483.0000,67.0000,30.0000,0.00106621
19,483.5000,215.0000,20.5000,48.2500,0.46313500
19,466.0000,217.2500,21.5000,45.7500,0.44213900
19,466.7500,214.6250,39.7500,53.8750,0.01177220
19,472.7500,219.1250,24.0000,43.1250,0.00951385
19,73.0000,201.1250,111.0000,41.6250,0.00809479
19,1.0000,200.8750,82.2500,49.3750,0.00521088
19,368.2500,219.8750,36.5000,53.1250,0.00178242
19,197.5000,483.7500,60.5000,29.2500,0.00145626
19,62.1250,483.5000,70.5000,29.5000,0.00129128
19,11.7188,488.7500,84.7812,24.2500,0.00128746
19,230.5000,483.2500,60.0000,29.7500,0.00115299
19,246.0000,494.7500,84.5000,18.2500,0.00104141
